state,county,County_name,Civilian_labor_force_2019,Unemployed_2019,Unemployment_rate_2019,State_Abbr,less_than_high_school,high_school_diploma,some_college,bach_degree,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2019,N_POP_CHG_2019,Births_2019,Deaths_2019,NATURAL_INC_2019,INTERNATIONAL_MIG_2019,DOMESTIC_MIG_2019,NET_MIG_2019,RESIDUAL_2019,GQ_ESTIMATES_2019,R_birth_2019,R_death_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,R_NET_MIG_2019,cases,deaths
27,029,Clearwater County,4501,371,8.2,MN,864,2112,2089,974,8695,8695,8818,3,110,74,36,5,-38,-33,0,115,12.476606363,8.393353371,4.083252992,0.567118471,-4.31010038,-3.742981909,155,1
27,031,Cook County,3123,135,4.3,MN,142,962,1315,1783,5176,5176,5463,38,46,40,6,22,10,32,0,51,8.449669361,7.347538575,1.102130786,4.041146216,1.836884644,5.878030860,24,0
27,033,Cottonwood County,5963,220,3.7,MN,752,2759,2640,1650,11687,11687,11196,-63,144,134,10,-4,-69,-73,0,244,12.825651303,11.934981073,0.890670229,-0.356268092,-6.145624582,-6.501892674,318,0
27,035,Crow Wing County,32410,1405,4.3,MN,2844,13779,17759,11032,62500,62512,65055,261,648,687,-39,6,294,300,0,737,9.98082388,10.581521614,-0.600697734,0.092415036,4.528336760,4.620751796,1279,22
27,037,Dakota County,243793,7011,2.9,MN,14448,58074,91276,117629,398552,398590,429021,3981,5108,2688,2420,427,1160,1587,-26,2825,11.961674869,6.294632351,5.667042518,0.999928576,2.716433604,3.716362180,10733,139
27,039,Dodge County,11982,405,3.4,MN,702,4676,4821,3285,20087,20087,20934,167,242,146,96,6,66,72,-1,149,11.606436296,7.002230162,4.604206134,0.287762883,3.165391717,3.453154601,432,0
27,041,Douglas County,21134,668,3.2,MN,1318,7857,10615,6747,36009,36011,38141,181,424,430,-6,2,187,189,-2,522,11.143086162,11.300771343,-0.157685182,0.052561727,4.914521491,4.967083218,859,4
27,043,Faribault County,7077,294,4.2,MN,840,3804,3534,1773,14553,14553,13653,-83,146,158,-12,-2,-69,-71,0,336,10.661214356,11.53747855,-0.876264194,-0.146044032,-5.038519114,-5.184563146,268,0
27,045,Fillmore County,11664,385,3.3,MN,1253,4888,5185,3030,20866,20868,21067,23,256,237,19,16,-11,5,-1,360,12.158343426,11.255966375,0.902377051,0.759896464,-0.522428819,0.237467645,309,0
27,047,Freeborn County,16216,557,3.4,MN,2214,8131,7819,3652,31255,31254,30281,-199,314,352,-38,25,-187,-162,1,638,10.335577097,11.586379421,-1.250802324,0.822896266,-6.155264067,-5.332367802,758,5
27,049,Goodhue County,27240,830,3,MN,1833,10662,11816,8125,46183,46184,46340,41,503,454,49,3,-10,-7,-1,865,10.85935729,9.801487494,1.057869796,0.064767538,-0.215891795,-0.151124257,734,11
27,051,Grant County,3324,148,4.5,MN,270,1427,1716,822,6018,6018,5972,-17,56,59,-3,0,-13,-13,-1,110,9.363765571,9.865395870,-0.501630298,0,-2.173731293,-2.173731293,111,5
27,053,Hennepin County,712531,19676,2.8,MN,57992,142555,233467,420664,1152425,1152385,1265843,7918,16008,8750,7258,3649,-2922,727,-67,25922,12.685793623,6.934076349,5.751717273,2.891707954,-2.315585268,0.576122686,36936,1002
27,055,Houston County,10451,336,3.2,MN,716,4462,4925,3188,19027,19020,18600,28,204,196,8,0,23,23,-3,257,10.976003443,10.545571936,0.430431508,0,1.237490584,1.237490584,260,2
27,057,Hubbard County,10036,541,5.4,MN,1085,4685,5299,4131,20428,20427,21491,200,216,199,17,2,182,184,-1,154,10.097704642,9.302977888,0.794726754,0.093497265,8.508251134,8.601748399,510,5
27,059,Isanti County,21503,871,4.1,MN,2222,8997,10695,4718,37816,37810,40596,646,448,327,121,13,512,525,0,465,11.124078167,8.119583840,3.004494326,0.322796911,12.71323219,13.036029101,636,7
27,061,Itasca County,21963,1307,6,MN,2095,9832,13222,7405,45058,45058,45130,79,441,502,-61,8,136,144,-4,1016,9.780330668,11.133165523,-1.352834854,0.177420965,3.016156397,3.193577361,847,17
